Wall time,Step,Value
1736164824.2298617,0,0.859821081161499
1736164869.404116,1,0.49070873856544495
1736164914.861506,2,0.405394583940506
1736164960.0906968,3,0.33471766114234924
1736165005.5724096,4,0.3214390277862549
1736165050.7339075,5,0.2830697000026703
1736165096.8286877,6,0.2909582257270813
1736165142.3508198,7,0.32841935753822327
1736165188.0815182,8,0.256853312253952
1736165234.184019,9,0.1818857491016388
1736165280.031399,10,0.15095119178295135
1736165325.954161,11,0.1965591311454773
1736165371.5340714,12,0.19315850734710693
1736165417.1707172,13,0.13084350526332855
1736165463.4688892,14,0.145871102809906
1736165509.463617,15,0.21685577929019928
1736165555.4866567,16,0.14711496233940125
1736165601.282429,17,0.14846670627593994
1736165647.011956,18,0.11957737803459167
1736165692.586324,19,0.14976845681667328
1736165738.383807,20,0.12702326476573944
1736165784.1695354,21,0.1261020302772522
1736165829.7510347,22,0.18878373503684998
1736165875.6899977,23,0.21041451394557953
1736165921.4876451,24,0.19678807258605957
1736165966.6923046,25,0.16704218089580536
1736166012.3261983,26,0.17776447534561157
1736166057.6793408,27,0.10588422417640686
1736166103.0454867,28,0.1274440884590149
1736166148.5763738,29,0.09864329546689987
1736166194.3363433,30,0.11561248451471329
1736166240.643535,31,0.1704932302236557
1736166285.9455333,32,0.13714376091957092
1736166331.508542,33,0.11827158182859421
1736166376.457995,34,0.11175629496574402
1736166421.9271355,35,0.1500224620103836
1736166467.9841685,36,0.1289292573928833
1736166513.7668872,37,0.15936431288719177
1736166560.1233985,38,0.1044394001364708
1736166606.4771564,39,0.12340952455997467
1736166652.6644409,40,0.2040761113166809
1736166698.0093563,41,0.16166912019252777
1736166743.7809675,42,0.16315563023090363
1736166789.1343055,43,0.12364000082015991
1736166834.8475559,44,0.1319265514612198
1736166880.4082804,45,0.1477147489786148
1736166925.8070955,46,0.15116479992866516
1736166971.740397,47,0.12408117949962616
1736167017.951915,48,0.152138814330101
1736167064.3762927,49,0.12320421636104584
1736167110.399929,50,0.1197347640991211
1736167156.7183354,51,0.12307017296552658
1736167202.597538,52,0.14310206472873688
1736167248.8728826,53,0.12630543112754822
1736167294.9317176,54,0.1414661705493927
1736167340.5583968,55,0.14171716570854187
1736167386.2260334,56,0.15456444025039673
1736167432.077224,57,0.15799927711486816
1736167477.6542864,58,0.1556495726108551
1736167523.4793231,59,0.13356007635593414
1736167569.3762689,60,0.13926808536052704
1736167615.0560858,61,0.137860968708992
1736167660.6513436,62,0.13561658561229706
1736167705.6617424,63,0.13784167170524597
1736167750.9658685,64,0.13817687332630157
1736167796.6124802,65,0.15413501858711243
1736167841.8650005,66,0.1410650759935379
1736167887.3866205,67,0.1489803045988083
1736167932.6189256,68,0.13342620432376862
1736167978.2133265,69,0.13824288547039032
1736168023.5742183,70,0.13201849162578583
1736168069.044589,71,0.1397169977426529
1736168114.3113854,72,0.13521325588226318
1736168160.4081852,73,0.14614465832710266
1736168205.738199,74,0.1541013866662979
1736168250.8322077,75,0.1431623101234436
1736168296.0319746,76,0.13889843225479126
1736168341.023038,77,0.1398041546344757
1736168386.1312351,78,0.130868598818779
1736168431.7680123,79,0.12996260821819305
1736168478.538572,80,0.13537244498729706
1736168523.5461226,81,0.14596252143383026
1736168568.7958956,82,0.13668735325336456
1736168614.0169857,83,0.14554668962955475
1736168658.964796,84,0.13844850659370422
1736168704.5827138,85,0.14618775248527527
1736168749.928942,86,0.1435057371854782
1736168795.1037958,87,0.13765034079551697
1736168840.3167837,88,0.13658937811851501
1736168885.8022096,89,0.140751913189888
1736168931.0516946,90,0.1441168189048767
1736168976.4425108,91,0.14026206731796265
1736169021.9976523,92,0.1387760043144226
1736169067.4096305,93,0.1413692682981491
1736169112.373731,94,0.13642153143882751
1736169157.7486122,95,0.1468288153409958
1736169203.31083,96,0.14291848242282867
1736169248.646515,97,0.14372104406356812
1736169294.9209754,98,0.14372575283050537
1736169341.3672783,99,0.13892172276973724
1736169386.6715689,100,0.1347150355577469
1736169432.687948,101,0.1390864998102188
1736169478.2190425,102,0.13563840091228485
1736169524.041664,103,0.13705848157405853
1736169569.4553068,104,0.13982020318508148
1736169614.8110912,105,0.137160524725914
1736169660.7418199,106,0.1426847130060196
1736169706.773394,107,0.1394290030002594
1736169752.105688,108,0.14067870378494263
1736169797.3121443,109,0.13844887912273407
1736169842.6353025,110,0.1393575370311737
1736169888.2621117,111,0.13925457000732422
1736169933.6951761,112,0.14227618277072906
1736169978.8671823,113,0.14705485105514526
1736170024.6586082,114,0.14157836139202118
1736170070.0846658,115,0.14244437217712402
1736170115.326686,116,0.1495232731103897
1736170160.259692,117,0.14335016906261444
1736170205.7366097,118,0.13828465342521667
1736170251.361662,119,0.14325669407844543
1736170296.543246,120,0.1381310224533081
1736170342.4665823,121,0.1439850628376007
1736170388.77396,122,0.13806544244289398
1736170434.9696445,123,0.13469114899635315
1736170480.917461,124,0.13858424127101898
1736170526.8196232,125,0.14141704142093658
1736170572.41918,126,0.14043769240379333
1736170617.8735049,127,0.1500454545021057
1736170663.795324,128,0.13989220559597015
1736170709.3479197,129,0.15013685822486877
1736170754.6982136,130,0.14569249749183655
1736170800.127774,131,0.14134396612644196
1736170845.5450864,132,0.1341124325990677
1736170890.5249333,133,0.13657978177070618
1736170935.5319476,134,0.14017446339130402
1736170980.6402807,135,0.14650112390518188
1736171025.8548443,136,0.13764293491840363
1736171071.1210709,137,0.14122164249420166
1736171116.7059786,138,0.14700847864151
1736171163.1510239,139,0.14281371235847473
1736171208.6123574,140,0.14150068163871765
1736171254.2926927,141,0.14440754055976868
1736171299.5641894,142,0.14405888319015503
1736171345.0379636,143,0.1386682242155075
1736171390.9229062,144,0.1421126127243042
1736171436.297989,145,0.14210888743400574
1736171482.163956,146,0.1365063190460205
1736171528.137758,147,0.14518488943576813
1736171573.6172547,148,0.14358584582805634
1736171618.9118245,149,0.14465349912643433
1736171663.8800886,150,0.13802415132522583
1736171709.0782306,151,0.1414784938097
1736171754.3282228,152,0.1441642940044403
1736171799.745877,153,0.14085286855697632
1736171844.9565165,154,0.14706867933273315
1736171890.5760329,155,0.13890224695205688
1736171935.9879212,156,0.1415337771177292
1736171981.7390838,157,0.14233876764774323
1736172027.4265358,158,0.13812154531478882
1736172072.6516657,159,0.1432330310344696
