Wall time,Step,Value
1736164824.2299001,0,0.6386159658432007
1736164869.4041758,1,0.7759270071983337
1736164914.8615475,2,0.8178865909576416
1736164960.0907562,3,0.8532073497772217
1736165005.5724819,4,0.8700911402702332
1736165050.7339716,5,0.8964293599128723
1736165096.8287315,6,0.8856841325759888
1736165142.350861,7,0.8651984333992004
1736165188.0815618,8,0.905608057975769
1736165234.1840744,9,0.9293336272239685
1736165280.0314734,10,0.9431003332138062
1736165325.9542038,11,0.9294410347938538
1736165371.5341125,12,0.9342363476753235
1736165417.1707792,13,0.9513878226280212
1736165463.4689305,14,0.9526425004005432
1736165509.4636674,15,0.9255449771881104
1736165555.486718,16,0.9432312846183777
1736165601.2824864,17,0.9541990756988525
1736165647.0120194,18,0.9609784483909607
1736165692.5863657,19,0.9525809288024902
1736165738.383849,20,0.9617558717727661
1736165784.1695733,21,0.9613868594169617
1736165829.7510896,22,0.948159396648407
1736165875.6900346,23,0.9434941411018372
1736165921.4877048,24,0.937445342540741
1736165966.6923623,25,0.9538275003433228
1736166012.3262725,26,0.9461408257484436
1736166057.6793969,27,0.9716912508010864
1736166103.0455287,28,0.9701476097106934
1736166148.5764153,29,0.9732527732849121
1736166194.336401,30,0.9701606035232544
1736166240.643583,31,0.9645260572433472
1736166285.9455888,32,0.9724429845809937
1736166331.5085845,33,0.9732120633125305
1736166376.4580495,34,0.973994791507721
1736166421.9271781,35,0.9663296341896057
1736166467.984206,36,0.9694109559059143
1736166513.7669284,37,0.9693860411643982
1736166560.123454,38,0.9778614044189453
1736166606.4772186,39,0.9740822315216064
1736166652.6645303,40,0.9662959575653076
1736166698.0094142,41,0.9701231718063354
1736166743.7810078,42,0.9639312624931335
1736166789.1343622,43,0.9740814566612244
1736166834.8475966,44,0.9748092889785767
1736166880.4083207,45,0.973217785358429
1736166925.8071334,46,0.9732164144515991
1736166971.7404716,47,0.977053701877594
1736167017.9519799,48,0.9717625379562378
1736167064.3763566,49,0.9778304100036621
1736167110.3999662,50,0.977104663848877
1736167156.7183952,51,0.9763102531433105
1736167202.5975754,52,0.9747605919837952
1736167248.8729477,53,0.9778727293014526
1736167294.9317589,54,0.9770442843437195
1736167340.5584533,55,0.9755424857139587
1736167386.2260735,56,0.9778109788894653
1736167432.077286,57,0.9762444496154785
1736167477.6543462,58,0.9732123017311096
1736167523.479383,59,0.9770752787590027
1736167569.3763335,60,0.9778109788894653
1736167615.0561264,61,0.9770517945289612
1736167660.6513848,62,0.9778192043304443
1736167705.6617842,63,0.9770752787590027
1736167750.9659297,64,0.9763090014457703
1736167796.612532,65,0.9739811420440674
1736167841.8650525,66,0.9770374894142151
1736167887.3866732,67,0.9747496843338013
1736167932.6189811,68,0.9785864353179932
1736167978.2133636,69,0.9763090014457703
1736168023.5742714,70,0.9785864353179932
1736168069.0446854,71,0.9778060913085938
1736168114.3114603,72,0.9770752787590027
1736168160.4082236,73,0.9754995703697205
1736168205.7382631,74,0.9732212424278259
1736168250.8322453,75,0.9754995703697205
1736168296.0320134,76,0.9755258560180664
1736168341.0230958,77,0.9755258560180664
1736168386.1312726,78,0.977841317653656
1736168431.7680538,79,0.9770610332489014
1736168478.5386093,80,0.9762935638427734
1736168523.5461822,81,0.974757969379425
1736168568.7959466,82,0.9770610332489014
1736168614.017049,83,0.9755258560180664
1736168658.9648402,84,0.9770610332489014
1736168704.582755,85,0.974757969379425
1736168749.9289994,86,0.974757969379425
1736168795.1038375,87,0.9770610332489014
1736168840.3168218,88,0.9770610332489014
1736168885.80227,89,0.9755258560180664
1736168931.0517359,90,0.974757969379425
1736168976.4425614,91,0.9755258560180664
1736169021.9977255,92,0.9762935638427734
1736169067.409688,93,0.9755258560180664
