Wall time,Step,Value
1735879219.4886286,0,0.8852654099464417
1735879260.9721322,1,0.9726131558418274
1735879302.2157443,2,0.9861648082733154
1735879343.4879894,3,0.9905468821525574
1735879384.801413,4,0.9949228167533875
1735879426.068617,5,0.9957971572875977
1735879467.0004222,6,0.9964979887008667
1735879508.1504722,7,0.9954482913017273
1735879549.6839483,8,0.9957954287528992
1735879590.9426556,9,0.9961493015289307
1735879632.6825533,10,0.9963219165802002
1735879675.023942,11,0.997022271156311
1735879716.8830276,12,0.9977234601974487
1735879758.4201372,13,0.9977245926856995
1735879800.0250518,14,0.9978991150856018
1735879841.1908934,15,0.9956243634223938
1735879882.2913337,16,0.9980748891830444
1735879923.7153692,17,0.9982492923736572
1735879964.80321,18,0.9970244765281677
1735880005.941798,19,0.9984249472618103
1735880047.1720624,20,0.9991245269775391
1735880088.064811,21,0.9992995858192444
1735880128.8729126,22,0.9989495873451233
1735880170.30501,23,0.9987738728523254
1735880211.5852847,24,0.9985998272895813
1735880253.2152922,25,0.9991245865821838
1735880294.44376,26,0.9998249411582947
1735880336.2630875,27,0.9991246461868286
1735880377.5944774,28,0.9992995858192444
1735880418.54508,29,0.9992997050285339
1735880460.0938225,30,0.9994747638702393
1735880501.6737719,31,0.999474823474884
1735880543.0853064,32,0.9991247653961182
1735880585.0742989,33,0.9991244673728943
1735880626.3981469,34,0.9992995858192444
1735880667.412036,35,0.9991247057914734
1735880709.2102313,36,0.9991246461868286
1735880750.5368822,37,0.9998249411582947
1735880791.6282063,38,0.999474823474884
1735880833.4343379,39,0.999474823474884
1735880875.1805396,40,0.9994747638702393
1735880916.763094,41,0.9992997646331787
1735880958.105864,42,0.9992998838424683
1735880999.112948,43,0.9996498823165894
1735881040.2850616,44,0.9992997646331787
1735881081.5057359,45,0.9996498823165894
1735881123.2970738,46,0.9992997050285339
1735881164.9215167,47,0.9996498823165894
1735881206.5564766,48,0.999474823474884
1735881247.6742792,49,0.9991247653961182
1735881289.2229593,50,0.9991247653961182
1735881331.3491182,51,0.9987747669219971
1735881373.9036748,52,0.9991246461868286
1735881415.4624856,53,0.9996498823165894
1735881456.7094433,54,0.9998249411582947
1735881498.0210834,55,0.9989497661590576
1735881539.9529653,56,0.999474823474884
1735881581.5180342,57,0.9998249411582947
1735881623.189431,58,0.9998249411582947
1735881664.4400396,59,0.999474823474884
1735881706.1225467,60,0.9989494681358337
1735881747.4155555,61,0.9991246461868286
1735881788.8111966,62,0.9996498823165894
1735881830.3343444,63,0.9992997646331787
1735881872.04376,64,0.9992995858192444
1735881913.4895122,65,0.9992997050285339
1735881954.5696683,66,0.9996498823165894
1735881995.5936337,67,0.9992997050285339
1735882037.3087232,68,0.9996498823165894
1735882079.5534399,69,0.9992997050285339
1735882121.4089782,70,0.9994747638702393
1735882163.1678255,71,0.9992997646331787
1735882204.6950538,72,0.9992997050285339
1735882245.8184245,73,0.9994747638702393
1735882287.4998577,74,0.9994747638702393
1735882329.4895234,75,0.9994747638702393
1735882370.5954251,76,0.9996499419212341
1735882412.206846,77,0.9996498823165894
1735882454.0669706,78,0.9994748830795288
1735882495.7227924,79,0.9992997646331787
1735882537.7573254,80,0.9991247653961182
1735882578.734294,81,0.9992998838424683
1735882619.588135,82,0.9991248250007629
1735882660.744816,83,0.9991245865821838
1735882702.6424313,84,0.9992997646331787
1735882744.3201587,85,0.9996498823165894
1735882785.1842165,86,0.9996498823165894
1735882826.6350374,87,0.9994749426841736
1735882867.5995789,88,0.9998249411582947
1735882908.8270683,89,0.9996498227119446
1735882950.0686638,90,1.0
1735882991.0973575,91,0.9996498227119446
1735883032.3534584,92,0.999474823474884
1735883073.887033,93,0.9994747638702393
1735883115.2848697,94,0.9992998838424683
1735883156.9677782,95,0.9992997050285339
1735883198.8535995,96,0.9996498823165894
1735883240.1090825,97,0.9992996454238892
1735883282.022042,98,0.9992997050285339
1735883324.8748522,99,0.9996498823165894
1735883365.6730206,100,0.9996499419212341
1735883406.7596831,101,0.9996498823165894
1735883447.6908798,102,0.999474823474884
1735883489.7835958,103,0.9996498227119446
1735883530.7421978,104,0.9994747638702393
1735883571.52968,105,0.9994747638702393
1735883612.7010102,106,1.0
1735883654.8400903,107,0.999474823474884
1735883696.0906916,108,0.9996498823165894
1735883737.7867033,109,0.9996498823165894
1735883779.16808,110,0.9998249411582947
1735883820.4080575,111,0.999474823474884
1735883862.6941836,112,0.9994747638702393
1735883903.6753175,113,0.9998249411582947
1735883944.5768948,114,0.9994747638702393
1735883986.3828933,115,0.9996498823165894
1735884027.2285404,116,0.999474823474884
1735884069.2504294,117,0.9996498823165894
1735884110.4128354,118,0.9994747638702393
1735884152.044525,119,0.9994747638702393
1735884193.0998805,120,0.9996499419212341
1735884234.4933867,121,0.9996498823165894
1735884276.4838934,122,0.9998249411582947
1735884317.7993457,123,0.9998249411582947
1735884359.189992,124,0.9994747638702393
1735884401.2583401,125,0.9991245269775391
1735884442.9958305,126,0.999474823474884
1735884484.5325947,127,0.9992997050285339
1735884526.0383394,128,0.9996498823165894
1735884567.002049,129,0.9996498823165894
1735884607.9893866,130,0.9996498227119446
1735884649.6934485,131,0.9996499419212341
1735884690.5274227,132,0.9994747042655945
1735884731.5827005,133,0.9996498823165894
1735884772.4630733,134,0.9994747042655945
1735884813.6288881,135,0.9994747638702393
1735884854.6846843,136,0.9992997050285339
1735884895.7240329,137,0.9991245269775391
1735884937.989473,138,0.9998249411582947
1735884978.7333968,139,0.999474823474884
1735885020.012887,140,0.9992997646331787
1735885061.3254347,141,0.9996498823165894
1735885102.676043,142,0.9996498227119446
1735885144.0873795,143,0.9994747638702393
1735885185.3973026,144,0.9998249411582947
1735885226.6017997,145,0.9996498823165894
1735885267.4230597,146,0.9991247653961182
1735885308.815657,147,0.9989495277404785
1735885350.25734,148,0.9996498823165894
1735885391.2446034,149,0.9996498823165894
1735885432.1346037,150,0.9994748830795288
1735885473.487731,151,0.999474823474884
1735885514.9512768,152,0.999474823474884
1735885556.7678912,153,0.9994747638702393
1735885598.4913778,154,0.9996498823165894
1735885639.383403,155,0.998949408531189
1735885680.4936926,156,0.9996498823165894
1735885722.3943648,157,0.9996498823165894
1735885764.2700698,158,0.9994748830795288
1735885805.3871927,159,0.9996498823165894
