Wall time,Step,Value
1735866720.6487625,0,0.822334885597229
1735866799.4534428,1,0.9559476971626282
1735866878.2076435,2,0.9691895246505737
1735866956.8196228,3,0.9803902506828308
1735867035.6896644,4,0.9817883968353271
1735867114.124612,5,0.9905495047569275
1735867192.7538586,6,0.9914210438728333
1735867270.8801403,7,0.9879303574562073
1735867349.2929306,8,0.9926468133926392
1735867429.3235097,9,0.9938735961914062
1735867507.382866,10,0.9924712777137756
1735867586.1279252,11,0.9949231147766113
1735867664.0649486,12,0.9922931790351868
1735867742.3682027,13,0.9926472902297974
1735867820.9016075,14,0.9936968088150024
1735867899.0640147,15,0.9926452040672302
1735867977.8882766,16,0.9963229894638062
1735868056.6545944,17,0.9966738820075989
1735868134.8045087,18,0.9977241158485413
1735868212.8562775,19,0.9959719777107239
1735868291.1371608,20,0.9959737062454224
1735868369.31298,21,0.9952736496925354
1735868447.8582008,22,0.9964985847473145
1735868526.0991044,23,0.9978992938995361
1735868604.9374442,24,0.9975489974021912
1735868683.8665786,25,0.9975500702857971
1735868762.2347834,26,0.9971990585327148
1735868840.05126,27,0.9980741143226624
1735868918.3933892,28,0.9977248907089233
1735868996.3728127,29,0.9985995292663574
1735869075.3121965,30,0.9992998838424683
1735869153.0673573,31,0.9980738759040833
1735869231.0835664,32,0.9996498823165894
1735869308.4421868,33,0.9984245300292969
1735869386.4053717,34,0.9991244077682495
1735869464.4784114,35,0.9985994696617126
1735869542.2331953,36,0.9980745315551758
1735869619.8000956,37,0.9987746477127075
1735869697.758105,38,0.9987742304801941
1735869775.662941,39,0.998774528503418
1735869852.9365034,40,0.9991246461868286
1735869930.6897953,41,0.9991246461868286
1735870008.1282225,42,0.9996498823165894
1735870085.5639646,43,0.999474823474884
1735870163.4564035,44,0.9992997050285339
1735870240.9102135,45,0.9992997050285339
1735870318.2071524,46,0.999474823474884
1735870395.9091337,47,0.999474823474884
1735870473.9227495,48,0.99912428855896
1735870552.345038,49,0.9998249411582947
1735870630.6498225,50,0.9996498227119446
1735870712.8574672,51,0.9998249411582947
1735870794.4451997,52,0.9996498823165894
1735870872.8943307,53,0.9998249411582947
1735870950.6064296,54,0.9996498823165894
1735871029.7104578,55,0.999474823474884
1735871108.6504781,56,0.9991246461868286
1735871187.6701598,57,0.9992998838424683
1735871266.0862114,58,0.9996498823165894
1735871344.514534,59,0.9998249411582947
1735871422.792623,60,0.9996498823165894
1735871501.0872016,61,0.9998249411582947
1735871578.8393002,62,0.9998249411582947
1735871658.1241162,63,0.9992997050285339
1735871737.622993,64,0.9998249411582947
1735871816.4686625,65,0.9998249411582947
1735871895.6407995,66,0.9998249411582947
1735871974.175635,67,0.999474823474884
1735872052.8236127,68,0.9996498823165894
1735872131.705671,69,0.9996498823165894
1735872210.0534422,70,0.9994747042655945
1735872289.476005,71,1.0
1735872367.4910147,72,1.0
1735872445.7324846,73,0.9996498823165894
1735872524.4750042,74,0.9996498823165894
1735872602.6996183,75,0.9998249411582947
1735872681.6571846,76,0.9996498823165894
1735872759.630738,77,1.0
1735872837.4602015,78,0.9996498823165894
1735872916.2167065,79,0.999474823474884
1735872994.5165453,80,0.9998249411582947
1735873072.8795319,81,0.9992995858192444
1735873150.1818776,82,0.999474823474884
1735873228.8091776,83,0.9996498823165894
1735873307.7809246,84,0.9994747638702393
1735873387.2664213,85,0.9996498823165894
1735873465.868899,86,0.999474823474884
1735873544.957859,87,0.9996498227119446
1735873623.541211,88,0.999474823474884
1735873702.25296,89,0.9998249411582947
1735873780.188504,90,0.9996498823165894
1735873859.1748726,91,0.9994747638702393
1735873938.5970476,92,0.9996498823165894
1735874018.1820817,93,0.9998249411582947
1735874098.510558,94,0.9998249411582947
1735874179.0931642,95,0.9998249411582947
1735874258.0854354,96,0.999474823474884
1735874336.793012,97,1.0
1735874415.6387765,98,0.999474823474884
1735874495.6970253,99,0.9998249411582947
1735874574.7615047,100,0.9996498227119446
1735874652.956525,101,0.9998249411582947
1735874731.2147958,102,0.9998249411582947
1735874808.886767,103,0.9996498823165894
1735874886.9383113,104,0.9998249411582947
1735874965.447599,105,1.0
1735875044.1336544,106,1.0
1735875122.7435546,107,0.9989497661590576
1735875200.4072974,108,0.999474823474884
1735875278.5291164,109,0.9998249411582947
1735875356.6420517,110,1.0
1735875435.189861,111,0.999474823474884
1735875512.639314,112,0.9996498823165894
1735875590.4624517,113,0.9996498823165894
1735875668.1462648,114,0.9996498823165894
1735875745.7801232,115,0.9998249411582947
1735875823.3277957,116,0.9996498823165894
1735875900.9696233,117,0.9992998838424683
1735875978.7316144,118,0.9994747638702393
1735876056.8237982,119,0.9992997646331787
1735876134.489844,120,0.9992997050285339
1735876212.405411,121,1.0
1735876290.2510018,122,0.9996498823165894
1735876368.6355407,123,0.9992997050285339
1735876446.391263,124,0.9994747638702393
1735876525.396614,125,1.0
1735876602.9613476,126,0.9996498823165894
1735876681.4564734,127,0.9992997050285339
1735876759.4617052,128,0.9998249411582947
1735876837.1565223,129,0.9998249411582947
1735876915.3445172,130,0.9998249411582947
1735876992.978879,131,0.999474823474884
1735877071.0457299,132,0.999474823474884
1735877149.6033144,133,0.999474823474884
1735877227.8428686,134,0.999474823474884
1735877305.62122,135,0.9998249411582947
1735877384.3186948,136,0.9996498823165894
1735877462.0992954,137,0.9998249411582947
1735877540.2190254,138,1.0
1735877617.9324434,139,0.9992997050285339
1735877695.4831564,140,0.9994747638702393
1735877773.596746,141,0.9996498823165894
1735877851.5740204,142,0.9998249411582947
1735877929.4192846,143,0.9998249411582947
1735878006.7882037,144,0.999474823474884
1735878084.385541,145,0.9996498823165894
1735878162.1067965,146,0.9996498227119446
1735878239.1516647,147,0.9996498823165894
1735878317.469131,148,0.9998249411582947
1735878395.6407647,149,0.999474823474884
1735878473.5817447,150,0.9996498823165894
1735878551.5118299,151,0.9998249411582947
1735878629.4470644,152,0.9996498227119446
1735878707.097685,153,0.9992997050285339
1735878784.8721275,154,1.0
1735878863.7857716,155,1.0
1735878943.3762863,156,0.9996498823165894
1735879021.4703588,157,0.9998249411582947
1735879099.099081,158,0.999474823474884
1735879176.6878512,159,0.9996498823165894
